Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
2,32,0.01,LAMB,1.1,1.0997,1.1001,0.3395,0.356,0.3464,0.3316,0.1268,0.12,0.3395,0.356,0.3464,0.3087,0.1869,0.1782,0.4962,0.5034,0.4889,1.139,0.8025,0.8085
3,32,0.01,LAMB,1.0992,1.098,1.0982,0.3384,0.3367,0.3395,0.3311,0.1134,0.1152,0.3384,0.3367,0.3395,0.312,0.1697,0.1721,0.5017,0.4885,0.4946,1.1246,1.2589,1.2661
4,32,0.01,LAMB,1.099,1.0984,1.0983,0.3433,0.3367,0.3395,0.3343,0.1134,0.1152,0.3433,0.3367,0.3395,0.3,0.1697,0.1721,0.4994,0.5033,0.5077,1.1333,1.2589,1.2661
5,32,0.01,LAMB,1.0988,1.0986,1.0986,0.3464,0.3367,0.3395,0.3393,0.1134,0.1152,0.3464,0.3367,0.3395,0.3084,0.1697,0.1721,0.5006,0.5368,0.5103,1.1291,1.2589,1.2661
1,32,0.001,AdamW,1.1556,1.1689,1.1674,0.3291,0.3072,0.3141,0.3278,0.0944,0.0987,0.3291,0.3072,0.3141,0.3275,0.1444,0.1502,0.4944,0.4921,0.4955,1.1455,1.305,1.3055
2,32,0.001,AdamW,1.1135,1.0965,1.0984,0.3374,0.3608,0.3419,0.3359,0.2447,0.2299,0.3374,0.3608,0.3419,0.3342,0.2399,0.2196,0.497,0.53,0.5036,1.1456,0.8678,0.8605
3,32,0.001,AdamW,1.107,1.1032,1.1027,0.3359,0.3223,0.3144,0.3337,0.2069,0.2062,0.3359,0.3223,0.3144,0.3313,0.2376,0.236,0.5037,0.5079,0.4994,1.135,1.2817,1.305
4,32,0.001,AdamW,1.108,1.1107,1.1097,0.3408,0.3367,0.3395,0.3368,0.1134,0.1152,0.3408,0.3367,0.3395,0.3331,0.1697,0.1721,0.506,0.4917,0.4982,1.1049,1.2589,1.2661
5,32,0.001,AdamW,1.1078,1.0982,1.1002,0.3272,0.3566,0.3458,0.3238,0.3288,0.1766,0.3272,0.3566,0.3458,0.3201,0.1903,0.1793,0.4956,0.5105,0.5075,1.1364,0.8021,0.8122
1,32,0.001,LAMB,1.135,1.0955,1.1002,0.3391,0.362,0.3434,0.338,0.3723,0.4796,0.3391,0.362,0.3434,0.3379,0.2869,0.2734,0.5097,0.5322,0.5145,1.1323,0.9582,0.9661
2,32,0.001,LAMB,1.1153,1.1005,1.1008,0.3395,0.3404,0.3313,0.3374,0.2667,0.245,0.3395,0.3404,0.3313,0.3362,0.239,0.2284,0.5012,0.5303,0.5283,1.1287,1.2445,1.2528
3,32,0.001,LAMB,1.1072,1.0958,1.0984,0.3396,0.3633,0.3642,0.337,0.2663,0.5692,0.3396,0.3633,0.3642,0.3359,0.2816,0.2781,0.5073,0.5417,0.5334,1.136,1.1691,1.1574
4,32,0.001,LAMB,1.1047,1.101,1.0998,0.3465,0.344,0.3503,0.3458,0.2527,0.2644,0.3465,0.344,0.3503,0.3429,0.1946,0.2088,0.5103,0.5264,0.5325,1.1262,1.2474,1.2488
5,32,0.001,LAMB,1.1021,1.1021,1.1047,0.3533,0.3645,0.3554,0.3519,0.2756,0.5636,0.3533,0.3645,0.3554,0.3473,0.266,0.2535,0.5157,0.5397,0.5331,1.1203,1.1916,1.1907
1,64,0.01,AdamW,1.3057,1.1624,1.1589,0.3366,0.3072,0.3141,0.3357,0.0944,0.0987,0.3366,0.3072,0.3141,0.336,0.1444,0.1502,0.4972,0.5305,0.5171,1.1496,1.305,1.3055
2,64,0.01,AdamW,1.1516,1.0984,1.1006,0.3377,0.3488,0.3479,0.336,0.4345,0.4046,0.3377,0.3488,0.3479,0.3357,0.22,0.2176,0.5008,0.5058,0.5007,1.1403,1.2345,1.2308
3,64,0.01,AdamW,1.1435,1.0994,1.1008,0.3345,0.3392,0.3051,0.3327,0.3808,0.2686,0.3345,0.3392,0.3051,0.3316,0.2757,0.2469,0.497,0.5111,0.4752,1.1376,1.2537,1.3086
4,64,0.01,AdamW,1.1155,1.1056,1.1049,0.3343,0.3373,0.3395,0.3321,0.2671,0.1153,0.3343,0.3373,0.3395,0.3308,0.171,0.1721,0.4984,0.5022,0.5065,1.1305,1.258,1.2661
